horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
10,zerosum,Stackelberg,1,6.029001951217651,16,0.5420794109969433,[-0.54207941  0.6537702   1.5715226   3.73130675],0.2
10,zerosum,State of the Art,1,4.656933307647705,16,0.542079410996943,[-0.54207941  0.6537702  -0.00552706  3.73130675],0.2
10,zerosum,Stackelberg,2,9.923082828521729,26,0.5425539635818315,[-0.54255396  0.65376145  1.57153344  3.73130537],0.04
10,zerosum,State of the Art,2,7.203533172607422,26,0.5425540917097693,[-0.54255409  0.65376146 -0.0055308   3.73130537],0.04
10,zerosum,Stackelberg,3,9.21100115776062,26,0.5425539635818315,[-0.54255396  0.65376145  1.57153344  3.73130537],0.008
10,zerosum,State of the Art,3,6.987093210220337,26,0.5425540917097693,[-0.54255409  0.65376146 -0.0055308   3.73130537],0.008
10,generalsum,Stackelberg,1,5.084646224975586,16,11.13094352463854,[21.03318922  3.          1.          5.        ],0.2
10,generalsum,State of the Art,1,5.236062049865723,16,11.13094352463854,[21.03318922  3.          1.          5.        ],0.2
10,generalsum,Stackelberg,2,8.096280097961426,26,9.383530623828248,[22.46845536 -0.79839086  3.03360152  2.10080457],0.04
10,generalsum,State of the Art,2,8.091198921203613,26,9.383530623828248,[22.46845536 -0.79839086  3.03360152  2.10080457],0.04
10,generalsum,Stackelberg,3,8.225459814071655,26,9.383530623828248,[22.46845536 -0.79839086  3.03360152  2.10080457],0.008
10,generalsum,State of the Art,3,8.510454893112183,26,9.383530623828248,[22.46845536 -0.79839086  3.03360152  2.10080457],0.008
